ID,Log,Attributes,AttributesHash,Audio,Fonts,Geom Canvas,Media Capabilities,MediaHash,Name,Plugins,PluginsHash,TXT Canvas
,,"{'IP': '178.72.203.77', 'CPU': 5, 'Memory': '2 GB', 'Screen Width': 1515, 'Screen Height': 862, 'Usable Screen Width': 1515, 'Usable Screen Height': 862, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'r8HqdWLN', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'gzZzCJMl', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",f69f1d360c166bff253199a7f13133f5b5396437ec37dad3e07ec050743ef6f4,5f81ddd69ec1b1d7892613c3296cc778f744b3c49a3fec31ac4b686cd2b2222d,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,1672d929e168db2c89c396f2bde8e3fce374d1ee8ce51208eb1fa41c7edb6e1b,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'XToUSJj': 'QQnTRIEKNGiwg3E', 'rVxgvfu2': 'RQvAfPHLs1Do78eu'}",9bb60b35082264a983218b484b731230e307e4841193a50a0a05b7dfa1503912,4684d4b95be2a00e038c8aa746727dd724560e43387a0eebded88bf00ecddf42
,,"{'IP': '178.72.203.77', 'CPU': 4, 'Memory': '8 GB', 'Screen Width': 1517, 'Screen Height': 863, 'Usable Screen Width': 1517, 'Usable Screen Height': 863, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'DBfXq8Hi', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': '7lSwBAAA', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",eaa57d4384b2d0aaf30126a19b1e8b34091b9f57e4f4a61bb64bdf4be55e81cc,026a32f1d0e8768f1352294837ce5da42355f4526c51bfcdb4b2b65fd184b398,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,5966ad8eae6025151d63a6f4cd1058f246e0fae6c034afec7f5a519fec1b3f16,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'cOmy4cW': 'QnbsWq899HqdWTw', 'TsePHDBf': 'VSRIEKNGqdOmy4cW'}",c17bfeb92156b79e26e3f86f86627f9638fe77ea9de0fb74cc194f5360fea83f,6801512589fc164c761467792d34427f3ba9362bdddbc458e86c606892e82384
,,"{'IP': '178.72.203.77', 'CPU': 2, 'Memory': '4 GB', 'Screen Width': 1514, 'Screen Height': 870, 'Usable Screen Width': 1514, 'Usable Screen Height': 870, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'VWTw3j47', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'QvAn6d1a', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",87d9bf13bf41639320b24be7b5a022c3c866e1933bd5b74c0264c2245608a34d,0263e4e684ba1ac47756a1f84ca27f46dcc82dbbcf0e6798040f988cf0e1666d,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,2a9e72c96429d0d472c14416f41789f6dd552c79cd2f826b7e189304cb7fd264,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'euAfXq0a': '68mbsWyZrdWLNGqd', 'mfuAfXq': 'MtePPuf2j4FCgYr'}",c1c46273b56ef115d4f646e833065b1d075ca30fb1edb1ed54f798b978e6082c,7df1e4cd5aff8644cc873e0addcec8f66f5af81caa28d845c208d28009fa3e66
,,"{'IP': '178.72.203.77', 'CPU': 3, 'Memory': '0.5 GB', 'Screen Width': 1515, 'Screen Height': 867, 'Usable Screen Width': 1515, 'Usable Screen Height': 867, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'BfPPmy4k', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'uXLFhvfu', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",e861ac1242f5f2e2cadf7917d7872ee4c8b6926b83bd9cbf53ea94aea6c0ef8b,495a485f03a9532e5487caf5ddf134cf3159167e61259b3d6aa427da7f42e146,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,bf07484827c2d23c13190335838db82e423807b075a85b881fcc08d2b5cbf895,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'vXToct1': 'iwg368e2bVKs9eu', 'ZYzCJECg': 'cOmy4cWToUKkaNl5'}",f2543bffbcf134433fde34e3bc66384822fb579f1fe8fb34535ec3c0e0bf6438,2d10b12f6dba1d4ddcffe651b850a3265deb5875c66a53920852134e44deb5cb
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '2 GB', 'Screen Width': 1518, 'Screen Height': 869, 'Usable Screen Width': 1518, 'Usable Screen Height': 869, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'fu2Epct1', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': '6hvXLNGq', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",f57a08c15d6fdf1bd3a4c0356dac847911dcfa9bcdfc0e1405c03d2c2faacd1e,e72dab9788fab36392afd03e1c92f6239a1e9a845bdc482411844214f219b919,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,e56bea592b88ce6fbfecfe5f9e94f4ab14a1e0c324336d0d294a444ad4ad8392,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'Pmy4cOu': '0a057lSw3bNlxBA', 'PHDBn6d1': 'Bn6dt9eu2EpUKkSo'}",adcc0681d27ace2dd09626eb82c1c6ac94a91f80643fb88a43120d008468cc5b,7ef8083416323281e5fa744ae2669a4d593abf4cab6c370a9baf1508ab6ca52b
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': '0.25 GB', 'Screen Width': 1515, 'Screen Height': 865, 'Usable Screen Width': 1515, 'Usable Screen Height': 865, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'my4cWLFp', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'uXLNGi47', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",aeb88671d88b7eb0edbf74c745b6ba4264577fe99b151860d62990debdf088a7,671dfb462d6b01c35947d8041b9003cf0c25a3264ecbedcc3f9ac050a8e0d853,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,a1e2533714370f37958f79241bdaafc7b1572264a7b405e8e9195862177d6f2a,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'f2bVSJr8': 'RnTRIMl5cWTwBIr0', 'wgvf2jw': 'UKs1DgQQnbsWyhQ'}",8f532d9b6652cca95da5f62f753c5fabc180fc1473df5c6d3fc3304528a1a1f6,6ee693689c4ba3cce7cb04599aaf3d76bb01b69a1a1ddb6954bd09cb94f6d7a1
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '8 GB', 'Screen Width': 1520, 'Screen Height': 868, 'Usable Screen Width': 1520, 'Usable Screen Height': 868, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'o78e2bNt', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'QIMl5k5k', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",4860bdb54a6e9e0644c587488b37409bc3f53a78ee23b16fa744caad5fbade11,a6b4d243e25fe6d825c53b6b9934dad7c9d7b2626c36c0e27bbeb83ca015aae7,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,4954f4e0905afb63d36b2bdda96874e1267a21ae9e1400a7e02a39d36e201ebd,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'s57dt9m': 'nAn6laVKs9eu2Ep', 's157d1a0': '4k5kxBIr0asWyZzC'}",c751bceea20a1ffb96bd7d50702a51e9ccbad4054240f674716dd29a97c72e6c,d2d99ff40831de3812c435d24ac43363966af2d3f969137404f7147e2f755933
,,"{'IP': '178.72.203.77', 'CPU': 5, 'Memory': '4 GB', 'Screen Width': 1514, 'Screen Height': 867, 'Usable Screen Width': 1514, 'Usable Screen Height': 867, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'XLFpUKs9', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ct9euAny', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",080a43fdd45aa97f740f3e733ad0d1e322e77081d07670e1cafffa991abeae46,08fbcab4cf055fbf5cf43edf7403d4678673e9a62306ebc7e069cd068c1f1a74,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,68a72bd6b0f7275bcc139d1e42bf4921049194760e06a50638117926384c22e1,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'WXyZzCJM': 'asWyZz4k5cOufuAf', 'gvfuAfX': 'MGqdWTw3bNtWyhY'}",48332559063ec48f15a647fc415fe6707929fa3af45ecc9b413e42ec364896e2,60905039a758587d4f5e59f4e0148447cdf47ff2b8679969bf9f3a3672f3c61f
,,"{'IP': '178.72.203.77', 'CPU': 6, 'Memory': '8 GB', 'Screen Width': 1518, 'Screen Height': 869, 'Usable Screen Width': 1518, 'Usable Screen Height': 869, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'VWTw3j4F', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': '09999999', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",68257fedc23100d0c60f05500698f9e7583d6b328cf2d92ea0b9cd6dfb104a58,58cfe8800fe9f02e2b93bc33c96613970de5d7278f78d4e051966be2f5344beb,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,7d5849ba259430310164be91213701aa1c2d4784ee0927be5d83fbe25fd29514,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'qhYrVp7': 'oUSRQvAnyCBfXq8', 'Vp7GLs9m': 'i47d1a0DozZzCBn6'}",c4e110a983b8014fe1bc2e375e9cb9a8d33fc595271820e43d127bd7e89f4cf2,42edafd9659e4c67fc9cbda7e776268f2814fe2d7abaf7a00b233e43c800550c
,,"{'IP': '178.72.203.77', 'CPU': 8, 'Memory': '2 GB', 'Screen Width': 1517, 'Screen Height': 869, 'Usable Screen Width': 1517, 'Usable Screen Height': 869, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'ZrVxYMGq', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'SwBIjZUx', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",4a965c1814b08341c56630746ef847371d02aa322ac4a5e015ea87f474528dd3,ae890748f26b68ad5e8bc6e8b1013eab7371d13c0d44451b23aa0dccec9acd52,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,11ee11f5e7e8dc5533733b1f89c58bd1637b700670cfb4d2986980cd2c9687b8,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'JIECgYr': 'DkaVKkaNlxBIjZU', 'jZMGqVp7': 'tePHLs9e2bNlx3bV'}",b37f78f019a7b9ea93815f2ce35db79f5657c8cea81e0209aedd53f517e38ee8,04fd4eb49d252af7cfc977561b9870faddf8eb7fbf28bdad47a12850eff1dd4f
,,"{'IP': '178.72.203.77', 'CPU': 6, 'Memory': '1 GB', 'Screen Width': 1520, 'Screen Height': 870, 'Usable Screen Width': 1520, 'Usable Screen Height': 870, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'FKNOPmyC', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'ZMGqVp7G', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",a046a9b4dd77d94d103d79a2ec6d27010f51d7cd3a3503fff763d327018578aa,3f05096626e8d3fe356b830f938929c15687d0d564177bc867cced907dbc0773,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,b7fd29fd4c6310fdc61f865d6ae70d544222f0d5ac24adf1c290caa71a7ad62e,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'78e2bNlx': 'ta0Do7GDBfPHDJMt', 'ECo7GLs': 'NGqVpzhYz4cWLFh'}",aac302cc5123eae936d1618bbcd02e1c06315e2a69715fe012012d2d0aedad59,10b87685c935185654dc51a94d3ba7e69ee7f5a17e70b280bdf800d9d1bfb1d3
,,"{'IP': '178.72.203.77', 'CPU': 3, 'Memory': '0.25 GB', 'Screen Width': 1516, 'Screen Height': 864, 'Usable Screen Width': 1516, 'Usable Screen Height': 864, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'Hi47lSoc', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'bwYMGi4F', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",002cac7fa9789414843218e478709b9e5c4880f38a0a81759d938734cc79cbc0,917b31d21d8727cdf6c0323e467b92daf86cdf3acf04d61744f016d58249b753,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,54545362e6e63b843c4cc99f5e411a479b2734bb1a77b9f9d992d70e6de567db,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'Hi47d1iZ': 'RQv268mbsWyZzCJM', 'nb0DgYr': 'kSw3bNlx3bVKs1D'}",4f5f13baeeaa2b7430487a0c886579297bb105e417a0b46722cec86e6c17e5dc,fb87354400ef752053d2da48a9a41251e567696ee219667e9f62dce9d09cb1dd
,,"{'IP': '178.72.203.77', 'CPU': 4, 'Memory': '2 GB', 'Screen Width': 1512, 'Screen Height': 866, 'Usable Screen Width': 1512, 'Usable Screen Height': 866, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'mTJr8Hqd', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'TRQnTRIM', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",3486ce91d09d14bc7490e9032bb8024f930b6b282b78eb21c994921ba0be8ed6,282e9e703ef7627fd20a98ebc8ed7f78035468048a35eac4afd3bd698026f9fe,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,8da9b719d452b2dad950152066ec0a697a56e5c0cf99367f71aaa129183ce542,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'rdWToc1': 'CgYzCBn6lSw3j4F', 'Om6d1a05': 'ZMGqVpzhYrVpzZrd'}",f670314f79f5f59d64f2e432dfde639461d2d52e132890705452a5c702b60ff8,ad1b66d2780d1c5900cc5d0f3820d24f23b1f56606ba4d5a382002a1b102ec23
,,"{'IP': '178.72.203.77', 'CPU': 3, 'Memory': '1 GB', 'Screen Width': 1513, 'Screen Height': 867, 'Usable Screen Width': 1513, 'Usable Screen Height': 867, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': '6hvXLFpU', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'z4kxBIjZ', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",cc868c2d6310fa2eddbeab3173f6ef1256157e41a5e9ce7dfb25b7f3343bec4c,eaf46bd9f34a7bb7e464f29fe0ff5b2a9af0bbc2bfd9d3968b27c5a140aeb3f0,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,17c0aa6d38b85e0dadeff78bdb92f42c8b63fc7e10ad453d0f878c77637ee642,"{'0': ['audioinput', 'No label defined'], '1': ['videoinput', 'No label defined'], '2': ['audiooutput', 'No label defined']}",f67e5002c6dfe44329839162e9fa212b7b3b94b50415b223c84f47ea6a8c2145,,"{'gvf2jwg3': 'kSoUSJjZUxg3EpUS', '2fXyZrV': 'fXq0aseXyZz4kxB'}",95b5bfd1c2cd58751f707186cb05099f27b1bf8eb95b5c27d0784ce30ca17e63,12e055283aecdab7b89e5131da765e766e9822a5678ae056b0a021e9350eac33
,,"{'IP': '178.72.203.77', 'CPU': 7, 'Memory': '8 GB', 'Screen Width': 1517, 'Screen Height': 867, 'Usable Screen Width': 1517, 'Usable Screen Height': 867, 'Color Depth': '30 bit', 'Touch Screen': 'False', 'Browser name': 'Chromium', 'Browser core': 'Brave', 'Navigator properties': 65, 'Browser permissions': ['clipboard-write', 'midi', 'payment-handler', 'storage-access'], 'IndexedDB': 'Enabled', 'Open database': 'Disabled', 'Local storage': 'Enabled', 'Session storage': 'Enabled', 'Global Storage': 'Disabled', 'PDF Viewer': 'Enabled', 'Cookies Enabled': 'True', 'Do not track': 'Not supported', 'AdBlock': 'False', 'Encryption methods': 'Not available', 'Navigator Vendor': 'Google Inc.', 'Vendor': None, 'Unmasked Vendor': 'aVSRIMtW', 'Renderer': 'WebKit WebGL', 'Unmasked Renderer': 'USJr89Hq', 'Shading Langueage Versions': 'WebGL GLSL ES 1.0 (OpenGL ES GLSL ES 1.0 Chromium)'}",89b94bf11ad36d0d75319cf8c6ccb9c8a6ad6657dfc38b7ec58e633ae86e7c57,7949612922e98f879e7954c88f8c0d1bc97c2324ab8db2439d5288701bb92e2a,1ed9e63d813080837cd00b0e26cb6bdec23b8973b43e1271d07d30afe48550b1,0cd8c92b7be960615efefc5f254b44f8c0af2f9881313b985bb55bc30854b213,"{'0': ['audioinput', 'No label defined'], '1': ['audiooutput', 'No label defined'], '2': ['videoinput', 'No label defined']}",cc5fda7cea8e396f84bdfed64a17b5a9bf77df89587a0be859d113f7e08750a0,,"{'3j4FCoz': 'Ls9mTJjZMOPmyCB', 'Wq0a0DgQ': 'l5kxBIjRnTRIECgY'}",32b6dcde4fd2dc2e49c4af80cd2b8d4ed421ae17ea6ca5ecb96e617f67713e9b,ee56521dfc0d952c1f374e65f2f6a809cf5b3e56fd14ba72efa1c22637d4facd
